cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
4184,4.630908,25.703079,192.41,15.16,VFID4183,NGC4710,HPESL100A_J124938.9+150958,green,192.41212,15.16613,0.000005,0.000005,11012.714,179.04,34.84,248.853,13.816,6.977,0.505012,f,1342258444
4189,7.541844,-30.093994,187.98,15.12,VFID4188,IC0797,HPESL160A_J123154.5+150733,red,187.977148,15.125734,0.000089,0.000086,1483.084,23.627,8.638,106.567,25.172,null,0,f,1342258054
4190,32.585294,20.059579,184.04,15.12,VFID4189,PGC1475898,HPESL100A_J121610.8+150756,green,184.045149,15.13215,0.000493,0.000475,20.78,4.053,2.263,28.378,24.35,null,0,f,1342198147
4195,0.313391,-86.934829,186.74,15.05,VFID4194,NGC4419,HPESL160A_J122656.4+150251,red,186.735117,15.047379,0.000022,0.000021,11266.571,50.02,32.139,604.803,24.578,11.297,0.459646,f,1342258062
4204,0.569565,-40.589903,187.18,15.00,VFID4203,IC3392,HPESL160A_J122843.2+145958,red,187.180156,14.999557,0.000063,0.000061,3376.195,43.891,27.189,153.325,34.02,16.955,0.498384,f,1342258060
4213,1.995724,-5.23211,183.45,14.90,VFID4212,NGC4192,HPESL070A_J121348.3+145402,blue,183.451376,14.900523,0.000009,0.000008,4835.848,187.23,61.638,138.77,11.959,6.107,0.510645,f,1342233016
4221,30.140406,74.205826,165.01,14.84,VFID4220,NGC3485,HPESL160A_J110004.3+145038,red,165.018293,14.843806,0.000132,0.000128,1266.87,11.522,5.471,186.821,28.839,null,0,f,1342255547
4227,0.695629,-172.438033,168.78,14.79,VFID4226,NGC3596,HPESL160A_J111506.2+144713,red,168.775862,14.78687,0.000064,0.000062,1730.974,17.024,3.949,210.384,25.954,15.931,0.613806,f,1342255549
4256,3.106092,175.745408,185.43,14.60,VFID4255,NGC4302,HPESL100A_J122142.3+143551,green,185.42654,14.597578,0.00003,0.000029,5638.668,22.531,37.18,1013.462,36.275,12.266,0.338133,f,1342198147
4283,18.466927,65.282958,188.00,14.42,VFID4282,NGC4501,HPESL100A_J123200.4+142520,green,188.001875,14.42218,0.000031,0.00003,2762.612,6.356,null,1023.232,24.413,9.93,0.406739,f,1342258056
4284,0.470226,140.392545,184.71,14.42,VFID4283,NGC4254,HPESL160A_J121849.6+142500,red,184.706817,14.416691,0.000029,0.000028,8851.701,5.19,4.404,1051.305,27.808,15.834,0.569414,f,1342198147
