VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,prefix
VFID3570,158.341773,21.5947363,1352.0,5.930909156799316,True,SDSSJ103321.99+213540.9,4242671,501195,108625,739531,SDSS J103321.51+213540.5,True,True,True,True,VFID3573,False,False,False,False,True,True,VFID3570-SDSSJ103321.51+213540.5
VFID3571,197.95495350000002,21.5889293,2626.5,8.300825119018555,True,SDSSJ131149.19+213519.9,4359059,548497,119284,0,WISEA J131149.16+213519.6,True,True,True,False,VFID3574,False,False,False,False,True,True,VFID3571-WISEAJ131149.16+213519.6
VFID3572,197.6011515,21.5758141,2590.2,22.137126922607422,True,PGC086688,86688,548084,119229,233937,2MFGC 10495,True,True,True,True,VFID3575,False,False,False,True,True,True,VFID3572-2MFGC10495
VFID3573,252.008586,21.5584757,2659.4,9.797635078430176,True,PGC1652518,1652518,687136,167095,0,SDSS J164802.08+213330.5,True,True,True,False,VFID3576,False,False,False,False,True,True,VFID3573-SDSSJ164802.08+213330.5
VFID3574,248.6062125,21.5408868,2936.5,47.11088562011719,True,NGC6186,58523,311779,63326,0,NGC 6186,True,True,True,False,VFID3577,True,True,True,True,True,True,VFID3574-NGC6186
VFID3575,215.90433299999998,21.5245,2049.0,15.0,False,PGC2807205,2807205,0,0,0,PGC1 2807205 NED001,True,False,False,False,VFID3578,False,False,False,False,True,True,VFID3575-PGC12807205NED001
VFID3576,168.457626,21.5210369,1418.7,24.952913284301758,True,UGC06258,34198,516520,111868,6258,UGC 06258,True,True,True,True,VFID3579,False,False,False,True,True,True,VFID3576-UGC06258
VFID3577,215.886333,21.5200278,2079.0,14.486388206481934,True,SDSSJ142332.69+213112.1,5064306,0,0,249082,SDSS J142332.70+213112.1,True,False,False,True,VFID3580,False,False,False,False,True,True,VFID3577-SDSSJ142332.70+213112.1
VFID3578,143.04205199999998,21.5015656,555.4,358.1964416503906,True,NGC2903,27077,0,135944,5079,NGC 2903,True,False,True,True,VFID3581,False,False,False,True,True,False,VFID3578-NGC2903
VFID3579,143.20335,21.4656744,484.70001220703125,24.781137466430664,True,UGC05086,27115,0,0,0,UGC 05086,True,False,False,False,VFID3582,False,False,False,False,True,False,VFID3579-UGC05086
VFID3580,179.9558475,21.4488178,1970.5,20.99526023864746,True,PGC037802,37802,546188,118903,741675,KUG 1157+217,True,True,True,True,VFID3583,False,False,False,True,True,True,VFID3580-KUG1157+217
VFID3581,137.0727015,21.4432902,2718.6,34.44460678100586,True,NGC2764,25690,623087,135692,0,NGC 2764,True,True,True,False,VFID3584,False,False,False,True,True,True,VFID3581-NGC2764
VFID3582,181.2321495,21.4259949,3126.7,29.048336029052734,True,PGC038232,38232,546073,118873,226016,MCG +04-29-013,True,True,True,True,VFID3585,False,False,False,False,True,True,VFID3582-MCG+04-29-013
VFID3583,198.0470835,21.4068333,3070.4,18.03521156311035,True,UGC08278,45839,629959,143111,8278,UGC 08278,True,True,True,True,VFID3586,False,False,False,False,True,True,VFID3583-UGC08278
VFID3584,154.594938,21.392019,1418.2,11.14605712890625,True,PGC1649060,1649060,500592,108439,0,WISEA J101822.76+212331.1,True,True,True,False,VFID3587,False,False,False,False,True,True,VFID3584-WISEAJ101822.76+212331.1
VFID3585,209.356182,21.3894085,2861.3,13.967582702636719,True,PGC1648997,1648997,563419,122608,743733,2MASX J13572551+2123217,True,True,True,True,VFID3588,False,False,False,False,True,True,VFID3585-2MASXJ13572551+2123217
VFID3586,154.6702725,21.3805201,1289.1,14.693364143371582,True,SDSSJ101840.87+212249.7,4232085,500590,108438,0,WISEA J101840.88+212249.5,True,True,True,False,VFID3589,False,False,False,False,True,True,VFID3586-WISEAJ101840.88+212249.5
